Слово,Перевод,Пример из главы
회사,компания / офис (место работы),"회사에 컴퓨터가 있어요."
기숙사,общежитие,"여기는 어디예요? 기숙사예요."
책상,письменный стол,"라흐만: 방에 책상이 있어요? 이 향: 네, 책상이 있어요."
의자,стул,"교실에 의자가 있어요."
침대,кровать,"방에 침대가 있어요. 책상이 있어요."
컴퓨터,компьютер,"가: 컴퓨터가 있어요? 나: 네, 컴퓨터가 있어요."
휴대 전화,мобильный телефон,"기숙사에 휴대 전화가 있어요."
시계,часы,"가: 시계가 방에 있어요? 나: 네, 방에 있어요."
학교,школа,"학교에 교실이 있어요."
교실,класс / аудитория,"교실에 책상이 있어요."
칠판,школьная доска,"교실에 칠판이 있어요."
지도,карта,"교실에 지도가 있어요."
책,книга,"가: 책이 있어요? 나: 아니요, 책이 없어요."
필통,пенал,"가방에 필통이 있어요."
볼펜,шариковая ручка,"필통에 볼펜이 있어요."
화장실,туалет / ванная комната,"화장실에 거울이 있어요."
수건,полотенце,"화장실에 수건이 있어요."
거울,зеркало,"화장실에 거울이 있어요."
휴지,туалетная бумага / салфетки,"화장실에 휴지가 있어요."
거실,гостиная,"텔레비전이 거실에 있어요? 네, 거실에 있어요."
에어컨,кондиционер,"거실에 에어컨이 있어요."
소파,диван,"거실에 뭐가 있어요? 거실에 소파가 있어요."
부엌,кухня,"가: 후엔 씨가 부엌에 있어요? 나: 아니요, 방에 있어요."
식탁,обеденный стол,"부엌에 식탁이 있어요."
컵,чашка / стакан,"식탁에 컵이 있어요."
냉장고,холодильник,"냉장고가 있어요. 책상이 있어요."
하지만,но / однако,"방에 침대가 있어요. 책상이 있어요. 하지만 옷장이 없어요."
옷장,шкаф для одежды,"방에 침대가 있어요. 책상이 있어요. 하지만 옷장이 없어요."
그리고,и / а также,"방에 침대가 있어요. 그리고 책상이 있어요."
